product_category_id;product_category_name2
1;beleza_saude
2;informatica_acessorios
3;automotivo
4;cama_mesa_banho
5;moveis_decoracao
6;esporte_lazer
7;perfumaria
8;utilidades_domesticas
9;telefonia
10;relogios_presentes
11;alimentos_bebidas
12;bebes
13;papelaria
14;tablets_impressao_imagem
15;brinquedos
16;telefonia_fixa
17;ferramentas_jardim
18;fashion_bolsas_e_acessorios
19;eletroportateis
20;consoles_games
21;audio
22;fashion_calcados
23;cool_stuff
24;malas_acessorios
25;climatizacao
26;construcao_ferramentas_construcao
27;moveis_cozinha_area_de_servico_jantar_e_jardim
28;construcao_ferramentas_jardim
29;fashion_roupa_masculina
30;pet_shop
31;moveis_escritorio
32;market_place
33;eletronicos
34;eletrodomesticos
35;artigos_de_festas
36;casa_conforto
37;construcao_ferramentas_ferramentas
38;agro_industria_e_comercio
39;moveis_colchao_e_estofado
40;livros_tecnicos
41;casa_construcao
42;instrumentos_musicais
43;moveis_sala
44;construcao_ferramentas_iluminacao
45;industria_comercio_e_negocios
46;alimentos
47;artes
48;moveis_quarto
49;livros_interesse_geral
50;construcao_ferramentas_seguranca
51;fashion_underwear_e_moda_praia
52;fashion_esporte
53;sinalizacao_e_seguranca
54;pcs
55;artigos_de_natal
56;fashion_roupa_feminina
57;eletrodomesticos_2
58;livros_importados
59;bebidas
60;cine_foto
61;la_cuisine
62;musica
63;casa_conforto_2
64;portateis_casa_forno_e_cafe
65;cds_dvds_musicais
66;dvds_blu_ray
67;flores
68;artes_e_artesanato
69;fraldas_higiene
70;fashion_roupa_infanto_juvenil
71;seguros_e_servicos
