,sellerState,delivery_time,id,sigla,lat,lng
0,AM,47.0,13,AM,-4.1541,-64.6531
1,BA,13.0,29,BA,-12.4753,-41.7212
2,CE,17.0,23,CE,-5.0932,-39.6158
3,DF,12.0,53,DF,-15.7812,-47.7969
4,ES,13.0,32,ES,-19.5749,-40.6712
5,GO,12.0,52,GO,-16.0412,-49.6225
6,MA,17.0,21,MA,-5.0789,-45.2892
7,MG,12.0,31,MG,-18.4562,-44.6734
8,MS,12.0,50,MS,-20.3273,-54.8456
9,MT,14.0,51,MT,-12.949,-55.9122
10,PB,13.0,25,PB,-7.1211,-36.8327
11,PE,12.0,26,PE,-8.3261,-37.9988
12,PI,13.0,22,PI,-7.3893,-42.9705
13,PR,13.0,41,PR,-24.6359,-51.6166
14,RJ,12.0,33,RJ,-22.1885,-42.6524
15,RN,13.0,24,RN,-5.8398,-36.6733
16,RO,18.0,11,RO,-10.9132,-62.842
17,RS,11.0,43,RS,-29.755,-53.248
18,SC,13.0,42,SC,-27.2474,-50.4749
19,SE,12.0,28,SE,-10.5838,-37.4438
20,SP,12.0,35,SP,-22.2635,-48.734
